Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
6.message_escalated,High,7.5,16,0.18,9,2,1,No,Yes,Yes,No,20,Yes
1.message_created,High,0,0,0,0,1,1,No,Yes,Yes,No,2000,No
2.two_days_b4_BI,High,0,0,0,0,1,1,No,Yes,Yes,No,2000,No
3.BI_is_communicated,High,0,0,0,0,1,1,No,Yes,Yes,No,2000,No
4.Seven_days_b4_escalation,High,0,0,0,0,1,1,No,Yes,Yes,No,2000,No
5.two_days_b4_escalation,High,4.1,2,1.87,5,2,2,Yes,Yes,Yes,No,2000,No
6.message_escalated,High,4.1,5,0.02,7,2,2,No,Yes,Yes,No,2000,No
1.message_created,High,0,1,0,0,1,1,No,Yes,Yes,Yes,,No
2.two_days_b4_BI,High,0,1,0,0,1,1,No,Yes,Yes,Yes,,No
3.BI_is_communicated,High,0,1,0,0,1,1,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,0,1,0,0,1,1,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,0,1,0,0,1,1,No,Yes,Yes,Yes,,No
6.message_escalated,High,0,1,0,0,1,1,No,Yes,Yes,Yes,,No
1.message_created,High,0,0,0,0,0,0,No,Yes,No,,,
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,No,,,
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,Yes,20,No
4.Seven_days_b4_escalation,High,7.86,1,1.04,2,2,2,No,Yes,Yes,Yes,20,No
5.two_days_b4_escalation,High,12.86,1,1.04,2,2,2,No,Yes,Yes,Yes,20,No
6.message_escalated,High,14.86,2,1.04,2,2,2,No,Yes,Yes,Yes,20,No
1.message_created,Medium,0,0,0,0,0,0,No,Yes,No,,,
2.two_days_b4_BI,Medium,2.91,0,0,0,0,0,No,Yes,No,,,
3.BI_is_communicated,High,4.91,2,0,0,1,1,No,Yes,Yes,Yes,50,No
4.Seven_days_b4_escalation,High,8.8,2,0.55,8,2,2,No,Yes,Yes,Yes,50,No
5.two_days_b4_escalation,High,10.2,3,0.43,8,2,2,No,Yes,Yes,Yes,50,No
6.message_escalated,High,11.51,8,0.43,8,3,3,No,Yes,Yes,Yes,50,No
3.BI_is_communicated,High,28,0,1,1,1,6,No,Yes,Yes,Yes,,
4.Seven_days_b4_escalation,Medium,15,0,3,1,1,2,No,No,No,No,,
5.two_days_b4_escalation,High,0.1,0,2,1,1,1,No,No,No,No,,
6.message_escalated,High,14.6,0,5,1,1,1,No,No,No,No,,
1.message_created,High,7.5,0,8,3,1,1,No,No,No,No,,
2.two_days_b4_BI,High,7.5,0,8,3,1,1,No,No,No,No,,
3.BI_is_communicated,High,8.29,0,2,0,2,2,No,No,No,No,,
4.Seven_days_b4_escalation,High,8.29,0,2,0,2,2,No,No,No,No,,
5.two_days_b4_escalation,High,3.25,0,14,1,4,3,No,No,No,No,,
6.message_escalated,High,27.29,0,1,0,6,5,,Yes,No,Yes,,
1.message_created,High,0,1,0,0,0,0,No,Yes,Yes,Yes,,No
2.two_days_b4_BI,High,8.96,2,4,0,1,1,No,Yes,Yes,Yes,,No
3.BI_is_communicated,High,10.96,2,0,1,1,1,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,11.375,2,0,1,1,1,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,16.375,2,5,2,1,1,No,Yes,Yes,Yes,,No
6.message_escalated,High,18.375,2,7,4,1,1,No,Yes,Yes,Yes,,No
1.message_created,Medium,0,0,0,0,0,0,No,No,,,,
