Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
6.message_escalated,High,5.41,1,1,2,1,1,No,Yes,Yes,Yes,500,No
1.message_created,High,0,0,0,0,0,0,No,Yes,Yes,Yes,1000,No
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,Yes,Yes,1000,No
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,Yes,1000,No
4.Seven_days_b4_escalation,High,2.79,0,3,2,0,0,No,Yes,Yes,Yes,1000,No
5.two_days_b4_escalation,High,9.79,4,10,2,0,0,No,Yes,Yes,Yes,1000,No
6.message_escalated,High,11.79,6,12,3,1,1,No,Yes,Yes,Yes,1000,No
1.message_created,Medium,0,0,0,1,0,0,No,Yes,No,No,10000,No
2.two_days_b4_BI,Medium,1,0,0,1,1,1,No,Yes,No,No,10000,No
3.BI_is_communicated,High,3.08,1,1,1,1,1,No,Yes,Yes,Yes,10000,No
4.Seven_days_b4_escalation,High,5.08,1,1,1,1,1,No,Yes,Yes,Yes,10000,No
5.two_days_b4_escalation,High,7.25,1,1,1,2,2,No,Yes,Yes,Yes,10000,No
6.message_escalated,High,10.41,6,1,1,3,3,No,Yes,Yes,Yes,10000,No
1.message_created,High,0,0,0,1,1,1,No,Yes,Yes,Yes,20,No
2.two_days_b4_BI,High,0,0,1,1,1,1,No,Yes,Yes,Yes,20,No
3.BI_is_communicated,High,0,0,1,1,1,1,No,Yes,Yes,Yes,20,No
4.Seven_days_b4_escalation,High,0,0,1,1,1,1,No,Yes,Yes,Yes,20,No
5.two_days_b4_escalation,High,0,0,2,1,1,1,No,Yes,Yes,Yes,20,No
6.message_escalated,High,1.08,1,2,2,1,1,No,Yes,Yes,Yes,20,No
1.message_created,Medium,0,0,0,0,0,0,No,Yes,No,Yes,1500,No
2.two_days_b4_BI,High,7,0,7,1,0,0,No,Yes,No,Yes,1500,No
3.BI_is_communicated,High,9,1,9,1,1,1,No,Yes,No,Yes,1500,No
4.Seven_days_b4_escalation,High,9,1,9,1,1,1,No,Yes,No,Yes,1500,No
5.two_days_b4_escalation,High,15,1,15,2,1,1,No,Yes,No,Yes,1500,No
6.message_escalated,High,17,1,17,2,1,1,No,Yes,No,Yes,1500,No
1.message_created,High,0,0,1,1,0,0,No,Yes,Yes,Yes,1000,No
2.two_days_b4_BI,High,0.16,0,1,1,0,0,No,Yes,Yes,Yes,1000,No
3.BI_is_communicated,High,0.16,0,1,1,0,0,No,Yes,Yes,Yes,1000,No
4.Seven_days_b4_escalation,High,6.62,2,1,3,3,2,No,Yes,Yes,Yes,1000,No
5.two_days_b4_escalation,High,9.67,3,5,5,3,2,No,Yes,Yes,Yes,1000,No
6.message_escalated,High,11.91,3,2,5,3,2,No,Yes,Yes,Yes,1000,No
1.message_created,High,0.375,0,0,1,1,1,No,Yes,Yes,Yes,100,No
2.two_days_b4_BI,High,0.375,0,0,1,1,1,No,Yes,Yes,Yes,100,No
3.BI_is_communicated,High,0.375,0,0,1,1,1,No,Yes,Yes,Yes,100,No
4.Seven_days_b4_escalation,High,20.12,0,2,2,3,3,No,Yes,Yes,Yes,100,No
5.two_days_b4_escalation,High,25.12,2,7,3,3,3,No,Yes,Yes,Yes,100,No
6.message_escalated,High,26.12,3,1,3,7,5,No,Yes,Yes,Yes,100,No
1.message_created,Medium,0,0,0,0,1,1,No,Yes,No,Yes,,No
2.two_days_b4_BI,Medium,9.375,0,1,0,2,2,No,Yes,No,Yes,,No
3.BI_is_communicated,High,11.375,0,1,1,2,2,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,21.67,0,5,1,2,2,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,26.67,0,5,2,3,3,No,Yes,Yes,Yes,,No
6.message_escalated,High,28.67,0,7,2,4,4,No,Yes,Yes,Yes,,No
1.message_created,Medium,0,0,0,3,1,1,No,Yes,Yes,Yes,,No
2.two_days_b4_BI,Medium,37,0,37,3,1,1,No,Yes,Yes,Yes,,No
3.BI_is_communicated,High,39,1,39,3,1,1,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,79,2,79,3,1,1,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,84,2,84,3,1,1,No,Yes,Yes,Yes,,No
6.message_escalated,High,86,2,86,3,1,1,No,Yes,Yes,Yes,,No
1.message_created,High,0,0,1,0,0,0,No,Yes,Yes,No,,No
2.two_days_b4_BI,High,1.7,0,1,1,1,1,No,Yes,Yes,No,,No
3.BI_is_communicated,High,2.95,1,3,1,1,1,No,Yes,Yes,No,,No
4.Seven_days_b4_escalation,High,2.95,1,3,1,1,1,No,Yes,Yes,No,,No
5.two_days_b4_escalation,High,7.95,1,1,1,1,1,No,Yes,Yes,No,,No
6.message_escalated,High,8.95,1,1,1,1,1,No,Yes,Yes,No,,No
1.message_created,High,0,0,1,0,0,0,No,Yes,No,Yes,,No
2.two_days_b4_BI,High,0,0,1,0,0,0,No,Yes,No,Yes,,No
3.BI_is_communicated,High,0,0,1,0,0,0,No,Yes,No,Yes,,No
4.Seven_days_b4_escalation,High,0,0,1,0,0,0,No,Yes,No,Yes,,No
5.two_days_b4_escalation,High,1.95,0,0,2,1,1,No,Yes,No,Yes,,No
6.message_escalated,High,3.95,0,2,2,1,1,No,Yes,No,Yes,,No
1.message_created,High,0,0,0,0,0,0,No,Yes,Yes,No,,No
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,Yes,No,,No
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,No,,No
4.Seven_days_b4_escalation,High,0,0,0,0,0,0,No,Yes,Yes,No,,No
5.two_days_b4_escalation,High,0,0,0,0,0,0,No,Yes,Yes,No,,No
6.message_escalated,High,0.28,0,1,1,1,1,No,Yes,Yes,No,,No
1.message_created,High,0,0,0,0,0,0,No,Yes,Yes,Yes,,No
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,Yes,Yes,,No
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,0,0,0,0,0,0,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,5.3,0,3,1,0,0,No,Yes,Yes,Yes,,No
6.message_escalated,High,7.3,0,5,2,1,1,No,Yes,Yes,Yes,,No
1.message_created,Medium,0,0,0,0,1,1,Yes,Yes,Yes,,,No
2.two_days_b4_BI,Medium,11,0,11,0,1,1,Yes,Yes,Yes,,,No
3.BI_is_communicated,Medium,13,1,13,0,1,1,Yes,Yes,Yes,,,No
4.Seven_days_b4_escalation,High,13,1,13,0,1,1,Yes,Yes,Yes,,,No
5.two_days_b4_escalation,High,18,4,18,1,1,1,Yes,Yes,Yes,,,No
6.message_escalated,High,20,4,20,1,2,2,Yes,Yes,Yes,,,No
1.message_created,High,0,0,2,0,1,1,No,Yes,Yes,Yes,10,No
2.two_days_b4_BI,High,0,0,2,0,1,1,No,Yes,Yes,Yes,10,No
3.BI_is_communicated,High,0,0,2,0,1,1,No,Yes,Yes,Yes,10,No
4.Seven_days_b4_escalation,High,1.7,0,2,0,1,1,No,Yes,Yes,Yes,10,No
5.two_days_b4_escalation,High,3.95,0,2,2,1,1,No,Yes,Yes,Yes,10,No
6.message_escalated,High,5.95,0,2,2,1,1,No,Yes,Yes,Yes,10,No
1.message_created,High,0,0,0,0,0,0,No,Yes,Yes,Yes,20,No
